participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,space,1.849,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,5.965,10,10,0,0,0,0,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.686,10,20,0,0,1,1,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.455,10,30,0,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.698,10,40,0,0,3,3,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.523,1,41,0,0,4,4,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.522,10,51,0,0,5,5,7,1,0,0,1,0,0,1,0,0,hexagon,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.559,1,52,0,0,6,6,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.753,1,53,0,0,7,7,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,1.066,10,63,0,0,8,8,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.817,10,73,0,0,9,9,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.826,10,83,0,0,10,10,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.389,1,84,0,0,11,11,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.739,10,94,0,1,0,12,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.607,10,104,0,1,1,13,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.522,10,114,0,1,2,14,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.539,10,124,0,1,3,15,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.484,1,125,0,1,4,16,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.534,10,135,0,1,5,17,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.55,1,136,0,1,6,18,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.089,10,146,0,1,7,19,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.521,10,156,0,1,8,20,7,1,0,0,1,0,0,1,0,0,hexagon,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.682,1,157,0,1,9,21,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.49,10,167,0,1,10,22,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.614,10,177,0,1,11,23,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.688,10,187,0,2,0,24,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.081,10,197,0,2,1,25,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.806,10,207,0,2,2,26,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.39,10,217,0,2,3,27,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.708,1,218,0,2,4,28,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.617,1,219,0,2,5,29,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.773,10,229,0,2,6,30,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.535,1,230,0,2,7,31,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,0.964,10,240,0,2,8,32,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,0.571,10,250,0,2,9,33,7,1,0,0,1,0,0,1,0,0,hexagon,circle
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,l,1.033,1,251,0,2,10,34,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h50.47.963,vts_reward_expectancy,2022.2.4,MacIntel,62.5,Safari,1512,982,,,a,1.322,1,252,0,2,11,35,11,1,0,0,0,1,0,0,1,0,star,hexagon
